"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","663","Data-driven UUID generation across versions and counts | {""version"":""v1"",""quantity"":10} @regression","UUID Generator E2E Tests","2026-09-04","passed","2026-09-04","","","",""
"","253","Should display all navigation groups @regression","Home Page & Core Navigation","2026-09-04","passed","2026-09-04","","","",""
"","511","Data-driven epoch to UTC conversion | {""description"":""Unix Epoch Start"",""epochSec"":0,""expectedIsoUtc"":""1970-01-01T00:00:00.000Z""} @regression","Unix Timestamp Converter E2E Tests","2026-09-04","passed","2026-09-04","","","",""
"","190","Crawl tool route, assert header rendering and zero console errors | {""id"":""jwt-debugger"",""toolName"":""JWT Debugger"",""route"":""#/jwtDebugger"",""expectedHeader"":""JWT Debugger"",""category"":""Converters""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-04","passed","2026-09-04","","","",""
"","524","Should shuffle quote and display quote content @regression","Home Page & Core Navigation","2026-09-04","passed","2026-09-04","","","",""
"","213","Crawl tool route, assert header rendering and zero console errors | {""id"":""json-formatter"",""toolName"":""JSON Formatter"",""route"":""#/jsonFormatter"",""expectedHeader"":""JSON Formatter"",""category"":""Converters""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-04","passed","2026-09-04","","","",""
"","1803","Should search for JSON Formatter in navbar and navigate @regression @discovery","Global Search Index Autocomplete","2026-09-04","passed","2026-09-04","","","",""
"","184","Crawl tool route, assert header rendering and zero console errors | {""id"":""image-editor"",""toolName"":""Image Editor"",""route"":""#/image-editor"",""expectedHeader"":""Image Editor"",""category"":""Converters""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-04","passed","2026-09-04","","","",""
"","218","Crawl tool route, assert header rendering and zero console errors | {""id"":""jira-comment"",""toolName"":""JIRA Comment Generator"",""route"":""#/jiraComment"",""expectedHeader"":""JIRA Comment Generator"",""category"":""Generators""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-04","passed","2026-09-04","","","",""
"","171","Crawl tool route, assert header rendering and zero console errors | {""id"":""workflow-generator"",""toolName"":""CI/CD Workflow Generator"",""route"":""#/workflow-generator"",""expectedHeader"":""CI/CD Workflow Generator"",""category"":""Developer""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-04","passed","2026-09-04","","","",""
"","947","Crawl tool route, assert header rendering and zero console errors | {""id"":""home"",""toolName"":""Home"",""route"":""#/"",""expectedHeader"":""KobeanQAUtils"",""category"":""Navigation""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-04","passed","2026-09-04","","","",""
