"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149","Crawl tool route, assert header rendering and zero console errors | {""id"":""json-prompt-builder"",""toolName"":""JSON Prompt Builder"",""route"":""#/json-prompt-builder"",""expectedHeader"":""JSON Prompt Builder"",""category"":""AI Tools""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","154","Crawl tool route, assert header rendering and zero console errors | {""id"":""file-comparator"",""toolName"":""File Comparator"",""route"":""#/file-comparator"",""expectedHeader"":""File Comparator"",""category"":""Testing Tools""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","159","Crawl tool route, assert header rendering and zero console errors | {""id"":""agent"",""toolName"":""Agent Mode"",""route"":""#/agent"",""expectedHeader"":""Agent Mode"",""category"":""AI Tools""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","145","Crawl tool route, assert header rendering and zero console errors | {""id"":""graphql-client"",""toolName"":""GraphQL Client"",""route"":""#/graphql-client"",""expectedHeader"":""GraphQL Client"",""category"":""API Testing""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","624","Audit Navigation between 5 tools for memory stability @performance @regression","Performance & Core Web Vitals Budget","2026-09-10","passed","2026-09-10","","","",""
"","257","Should display all navigation groups @regression","Home Page & Core Navigation","2026-09-10","passed","2026-09-10","","","",""
"","144","Crawl tool route, assert header rendering and zero console errors | {""id"":""otp"",""toolName"":""OTP Generator"",""route"":""#/otp"",""expectedHeader"":""OTP Generator"",""category"":""Generators""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","144","Crawl tool route, assert header rendering and zero console errors | {""id"":""base64"",""toolName"":""Base64 Encode/Decode"",""route"":""#/base64"",""expectedHeader"":""Base64 Encode / Decode"",""category"":""Converters""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","148","Crawl tool route, assert header rendering and zero console errors | {""id"":""uuid"",""toolName"":""UUID Generator"",""route"":""#/uuid"",""expectedHeader"":""UUID Generator"",""category"":""Generators""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","1407","Audit #/uuid for WCAG 2.1 AA compliance @a11y @regression","Accessibility (a11y) Audits - WCAG 2.1 AA","2026-09-10","passed","2026-09-10","","","",""
"","1391","Audit #/base64 for WCAG 2.1 AA compliance @a11y @regression","Accessibility (a11y) Audits - WCAG 2.1 AA","2026-09-10","passed","2026-09-10","","","",""
"","768","Data-driven hash vector validation | {""algorithm"":""SHA-1"",""input"":""hello"",""expectedHash"":""aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d""} @regression","Hash Generator E2E Tests","2026-09-10","passed","2026-09-10","","","",""
"","631","Data-driven UUID generation across versions and counts | {""version"":""v1"",""quantity"":10} @regression","UUID Generator E2E Tests","2026-09-10","passed","2026-09-10","","","",""
"","138","Crawl tool route, assert header rendering and zero console errors | {""id"":""markdown-to-confluence"",""toolName"":""Markdown to Confluence"",""route"":""#/markdown-to-confluence"",""expectedHeader"":""Markdown to Confluence Wiki"",""category"":""Converters""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","151","Crawl tool route, assert header rendering and zero console errors | {""id"":""sip"",""toolName"":""Session Initiation Protocol"",""route"":""#/sip"",""expectedHeader"":""Session Initiation Protocol"",""category"":""Terms""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","527","Should navigate back to home via navbar brand/home link @regression","Home Page & Core Navigation","2026-09-10","passed","2026-09-10","","","",""
"","196","Crawl tool route, assert header rendering and zero console errors | {""id"":""palace"",""toolName"":""QA Palace"",""route"":""#/palace"",""expectedHeader"":""QA Palace"",""category"":""Navigation""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","504","Data-driven epoch to UTC conversion | {""description"":""Unix Epoch Start"",""epochSec"":0,""expectedIsoUtc"":""1970-01-01T00:00:00.000Z""} @regression","Unix Timestamp Converter E2E Tests","2026-09-10","passed","2026-09-10","","","",""
"","152","Crawl tool route, assert header rendering and zero console errors | {""id"":""ai-website-tester"",""toolName"":""AI Website Tester"",""route"":""#/ai-website-tester"",""expectedHeader"":""AI Website Tester"",""category"":""Testing Tools""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","147","Crawl tool route, assert header rendering and zero console errors | {""id"":""json-formatter"",""toolName"":""JSON Formatter"",""route"":""#/jsonFormatter"",""expectedHeader"":""JSON Formatter"",""category"":""Converters""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","145","Crawl tool route, assert header rendering and zero console errors | {""id"":""grpc-client"",""toolName"":""gRPC Client"",""route"":""#/grpc-client"",""expectedHeader"":""gRPC Client"",""category"":""API Testing""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","153","Crawl tool route, assert header rendering and zero console errors | {""id"":""htpasswd"",""toolName"":""HTPasswd Generator"",""route"":""#/htpasswd"",""expectedHeader"":""HTPasswd Generator"",""category"":""Generators""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","451","Should shuffle quote and display quote content @regression","Home Page & Core Navigation","2026-09-10","passed","2026-09-10","","","",""
"","849","Data-driven hash vector validation | {""algorithm"":""SHA-256"",""input"":""qa-utils"",""expectedHash"":""db859cd403c3c80f430cb38960ffb65220a553b16c490c7f5fc51e1c4c6202ca""} @regression","Hash Generator E2E Tests","2026-09-10","passed","2026-09-10","","","",""
"","155","Crawl tool route, assert header rendering and zero console errors | {""id"":""ivr"",""toolName"":""Interactive Voice Response"",""route"":""#/ivr"",""expectedHeader"":""Interactive Voice Response"",""category"":""Terms""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","729","Data-driven hash vector validation | {""algorithm"":""SHA-256"",""input"":""hello"",""expectedHash"":""2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824""} @regression","Hash Generator E2E Tests","2026-09-10","passed","2026-09-10","","","",""
"","185","Crawl tool route, assert header rendering and zero console errors | {""id"":""local-llm-mac-tips"",""toolName"":""Local LLM Mac Tips"",""route"":""#/local-llm-mac-tips"",""expectedHeader"":""Local LLM on Mac"",""category"":""Guides""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","2247","Data-driven JWT decoding and expiration validation | {""description"":""Expired Token"",""token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ1c2VyLTQ1NiIsImV4cCI6MTYwMDAwMDAwMH0.3e5g3n4wG9LhX6K7j4aN2p-4YpGqY12j4G0qK8v7Rz0"",""expectedSub"":""user-456"",""isExpired"":true} @regression","JWT Debugger E2E Tests","2026-09-10","passed","2026-09-10","","","",""
"","152","Crawl tool route, assert header rendering and zero console errors | {""id"":""dummy-data"",""toolName"":""Dummy Data Generator"",""route"":""#/dummy-data"",""expectedHeader"":""Dummy Data Generator"",""category"":""Generators""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","558","Should generate batch of 20 UUIDs with 100% uniqueness @regression","UUID Generator E2E Tests","2026-09-10","passed","2026-09-10","","","",""
"","147","Crawl tool route, assert header rendering and zero console errors | {""id"":""agent-manager"",""toolName"":""Agent Manager"",""route"":""#/agent-manager"",""expectedHeader"":""Agent Orchestration"",""category"":""AI Tools""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","1026","Bulk 1,000 UUID generation benchmark @stress @slow","Client-Side Stress & Load Tests","2026-09-10","passed","2026-09-10","","","",""
"","614","Should display current timestamp on page load @smoke @regression","Unix Timestamp Converter E2E Tests","2026-09-10","passed","2026-09-10","","","",""
"","178","Crawl tool route, assert header rendering and zero console errors | {""id"":""api-testing-checklist"",""toolName"":""API Testing Checklist"",""route"":""#/api-testing-checklist"",""expectedHeader"":""API Testing Checklist"",""category"":""Checklists""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
"","143","Crawl tool route, assert header rendering and zero console errors | {""id"":""kanban"",""toolName"":""Kanban Board"",""route"":""#/kanban"",""expectedHeader"":""Kanban Board"",""category"":""Developer""} @smoke @discovery","Universal 64-Tool Discovery & Health Crawler","2026-09-10","passed","2026-09-10","","","",""
